ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
223.6.6.139,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-13T04:45:18Z,2023-03-13T02:24:12Z
223.5.5.79,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-13T04:48:05Z,2023-03-13T02:54:49Z
103.144.52.194,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-03-13T06:23:06Z,2023-03-13T06:23:06Z
74.119.193.34,vm832439.stark-industries.solutions.,135330,ADCDATA.COM,CN,,9.18.1-1ubuntu1.3-Ubuntu,,true,1.00,2023-03-13T06:49:57Z,2023-03-13T06:49:57Z
103.144.53.150,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-03-13T11:58:43Z,2023-03-13T11:58:43Z
103.144.53.186,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-03-13T13:36:17Z,2023-03-13T13:36:17Z
173.82.150.101,101-150-82-173-dedicated.multacom.com.,35916,MULTA-ASN1,CN,,,,false,1.00,2023-03-15T09:48:45Z,2023-03-13T16:58:49Z
103.144.53.238,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-03-15T09:49:00Z,2023-03-13T17:18:46Z
223.5.5.203,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T09:50:59Z,2023-03-13T20:21:20Z
223.5.5.64,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T09:52:11Z,2023-03-13T22:07:53Z
223.6.6.171,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-26T22:04:59Z,2023-03-13T23:18:51Z
223.6.6.170,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T09:53:39Z,2023-03-14T00:25:49Z
223.5.5.252,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-14T03:05:21Z,2023-03-14T03:05:21Z
223.6.6.150,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-14T03:49:25Z,2023-03-14T03:49:25Z
223.6.6.232,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-14T17:46:23Z,2023-03-14T03:53:29Z
223.6.6.151,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-14T09:46:43Z,2023-03-14T04:50:15Z
223.5.5.45,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-04-12T12:18:52Z,2023-03-14T10:35:09Z
103.144.52.206,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-03-15T04:49:16Z,2023-03-14T11:03:56Z
103.144.52.91,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-03-15T04:50:09Z,2023-03-14T12:32:58Z
103.144.53.168,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,0.95,2023-04-03T07:22:26Z,2023-03-14T13:04:03Z
223.5.5.129,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T04:50:47Z,2023-03-14T13:47:07Z
223.5.5.159,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T08:47:35Z,2023-03-14T14:35:05Z
223.5.5.41,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T08:46:09Z,2023-03-14T15:10:06Z
223.6.6.147,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T04:52:55Z,2023-03-14T17:14:10Z
223.5.5.157,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T04:54:02Z,2023-03-14T18:49:58Z
223.6.6.68,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-04-02T00:28:04Z,2023-03-14T20:28:10Z
223.5.5.59,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-15T09:57:38Z,2023-03-14T22:14:21Z
103.144.52.162,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-03-15T09:58:24Z,2023-03-14T23:32:46Z
223.6.6.196,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-18T02:48:58Z,2023-03-15T03:47:22Z
